Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0.363	-7.3933582	-8.720623	16.752893	0.28601065
0.364	-6.909452	-8.6919413	17.734583	0.28431013
0.365	-7.952867	-8.4738235	15.949305	0.28601065
0.366	-8.466135	-8.6877928	15.706296	0.28665975
0.367	-8.0853682	-8.8228683	14.972444	0.28590336
0.368	-8.0988865	-8.3062038	15.972908	0.28512552
0.369	-9.114049	-8.3847027	15.218134	0.28510407
0.37	-9.4006166	-8.6140852	14.488037	0.28571025
0.371	-7.9700689	-8.6387615	14.482673	0.28544739
0.372	-8.3462582	-8.5307579	16.215916	0.28921321
0.373	-8.1637602	-8.8713274	16.081806	0.2868636
0.374	-8.3223686	-8.6608276	14.364655	0.28588727
0.375	-8.0246429	-8.6085424	13.351853	0.29142335
0.376	-7.8928928	-8.2775221	15.167708	0.28960481
0.377	-8.7012396	-8.5087643	16.559238	0.28845683
0.378	-8.5961685	-8.7355003	16.199286	0.29143944
0.379	-7.7408652	-8.7474804	16.751822	0.287164
0.38	-7.8468661	-8.4341984	16.475554	0.28690651
0.381	-8.0393772	-8.3822355	17.996367	0.29226556
0.382	-8.0370169	-8.2434044	19.763405	0.29121414
0.383	-8.371685	-8.1603985	21.491821	0.2904202
0.384	-8.6509571	-8.126853	17.951305	0.29227629
0.385	-8.8079195	-8.3987932	19.852991	0.29458299
0.386	-8.468853	-8.5444193	20.86043	0.29312387
0.387	-7.6423388	-8.215044	19.864794	0.29127851
0.388	-7.6922994	-8.1768141	19.488747	0.29798403
0.389	-7.8347068	-8.0128775	19.76716	0.29283956
0.39	-8.0260735	-8.1057177	20.892078	0.29506043
0.391	-7.5629454	-8.2391844	19.749458	0.29327407
0.392	-7.6999884	-8.1338272	20.743484	0.29754415
0.393	-7.9747896	-7.8122478	18.112774	0.29729202
0.394	-8.6093292	-7.7243071	18.132622	0.30080035
0.395	-7.7708702	-7.7256303	20.996685	0.29892281
